"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",100,29,0.837037,0.858168,0.859378,0.860739,0.86158,0.909047,0.903164
"adhoc6",10,30,0.657912,0.653212,0.641558,0.61282,0.682007,0.684101,0.503685
"adhoc6",20,30,0.694276,0.684882,0.686222,0.670157,0.707762,0.724375,0.606067
"adhoc6",30,30,0.812795,0.767826,0.769314,0.764075,0.781834,0.806578,0.757525
"adhoc6",40,30,0.727946,0.738576,0.742632,0.737745,0.751663,0.763032,0.710878
"adhoc6",50,30,0.733333,0.766956,0.771443,0.768324,0.779344,0.801197,0.775159
"adhoc6",60,30,0.773737,0.801158,0.80354,0.801671,0.809273,0.850861,0.835041
"adhoc6",70,30,0.882828,0.834451,0.83591,0.836862,0.839981,0.884759,0.88069
"adhoc6",80,30,0.874747,0.810955,0.812123,0.813019,0.816633,0.86985,0.84488
"adhoc6",90,30,0.882828,0.850022,0.852847,0.852461,0.85629,0.898931,0.898594
"adhoc6",100,30,0.862626,0.861422,0.864386,0.864044,0.866679,0.916305,0.904298
