"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",50,22,0.789379,0.762171,0.766597,0.763761,0.772288,0.812026,0.802226
"adhoc6",60,22,0.794269,0.748352,0.750108,0.74873,0.755347,0.803884,0.775751
"adhoc6",70,22,0.764128,0.79829,0.801735,0.800284,0.805933,0.845377,0.855182
"adhoc6",80,22,0.854968,0.825043,0.828243,0.826606,0.832128,0.874783,0.877608
"adhoc6",90,22,0.834732,0.852039,0.854778,0.854052,0.858066,0.904964,0.910091
"adhoc6",100,22,0.903958,0.837691,0.840623,0.839919,0.84278,0.889737,0.889852
"adhoc6",10,23,0.52703,0.605025,0.595673,0.566539,0.635751,0.599494,0.464344
"adhoc6",20,23,0.701062,0.644129,0.644363,0.63319,0.665107,0.663638,0.573638
"adhoc6",30,23,0.689857,0.667885,0.671487,0.664946,0.683178,0.689417,0.630676
"adhoc6",40,23,0.677195,0.723465,0.724049,0.721127,0.732168,0.772679,0.736445
"adhoc6",50,23,0.822471,0.792061,0.795661,0.79246,0.801994,0.847807,0.846596
"adhoc6",60,23,0.804958,0.797158,0.801424,0.799346,0.806185,0.856913,0.851002
"adhoc6",70,23,0.784179,0.797214,0.798795,0.798576,0.803408,0.846452,0.84394
"adhoc6",80,23,0.889628,0.818955,0.821767,0.820854,0.825722,0.87767,0.869398
"adhoc6",90,23,0.814513,0.832746,0.835063,0.834936,0.838161,0.892003,0.891369
"adhoc6",100,23,0.836045,0.81828,0.823069,0.822655,0.825936,0.87668,0.873512
"adhoc6",10,24,0.440373,0.543761,0.538575,0.508081,0.578971,0.509332,0.349272
"adhoc6",20,24,0.547017,0.680774,0.679072,0.666789,0.700359,0.725997,0.643889
"adhoc6",30,24,0.717582,0.726107,0.731886,0.721938,0.744422,0.76633,0.742854
"adhoc6",40,24,0.687037,0.750502,0.751985,0.748256,0.760123,0.818794,0.775904
"adhoc6",50,24,0.734606,0.714224,0.720741,0.716702,0.727153,0.769811,0.718157
"adhoc6",60,24,0.800227,0.7805,0.785507,0.782844,0.790108,0.832175,0.840986
"adhoc6",70,24,0.771725,0.789013,0.791994,0.791055,0.796532,0.845303,0.837556
"adhoc6",80,24,0.812834,0.804083,0.807208,0.807608,0.810733,0.859759,0.853287
"adhoc6",90,24,0.857792,0.806444,0.810207,0.810474,0.813499,0.857495,0.861062
"adhoc6",100,24,0.855014,0.835936,0.839925,0.840589,0.842588,0.894921,0.895281
"adhoc6",10,25,0.653011,0.617086,0.605209,0.578351,0.644951,0.639726,0.477277
"adhoc6",20,25,0.534368,0.618419,0.61947,0.60502,0.638545,0.664963,0.538469
"adhoc6",30,25,0.676699,0.71831,0.719693,0.713726,0.731989,0.772859,0.735264
"adhoc6",40,25,0.811717,0.766846,0.769,0.76695,0.776142,0.825167,0.805473
"adhoc6",50,25,0.806603,0.733533,0.732978,0.733257,0.739693,0.784045,0.748829
"adhoc6",60,25,0.813568,0.817098,0.818013,0.817608,0.823659,0.86743,0.869866
"adhoc6",70,25,0.797246,0.813507,0.816452,0.814889,0.820575,0.862445,0.869741
"adhoc6",80,25,0.837441,0.805892,0.807137,0.806369,0.811479,0.86808,0.858768
"adhoc6",90,25,0.822642,0.839827,0.842816,0.841792,0.845985,0.89378,0.899034
"adhoc6",100,25,0.831176,0.81322,0.815261,0.816984,0.818477,0.865876,0.861946
"adhoc6",10,26,0.568572,0.610097,0.59906,0.568153,0.641338,0.550737,0.507969
"adhoc6",20,26,0.662771,0.692674,0.69666,0.681806,0.716609,0.750935,0.698434
"adhoc6",30,26,0.645208,0.671495,0.67609,0.665545,0.687624,0.693006,0.647655
"adhoc6",40,26,0.78146,0.741431,0.740992,0.738587,0.750569,0.794678,0.764285
"adhoc6",50,26,0.745806,0.73817,0.741928,0.740813,0.749198,0.780835,0.755652
"adhoc6",60,26,0.824329,0.785623,0.788756,0.78588,0.794339,0.852062,0.835518
"adhoc6",70,26,0.834354,0.775321,0.778816,0.77965,0.783223,0.824817,0.805887
"adhoc6",80,26,0.794479,0.814395,0.81601,0.815555,0.819238,0.865581,0.86841
"adhoc6",90,26,0.877336,0.806607,0.808953,0.808909,0.811926,0.865778,0.86455
"adhoc6",100,26,0.799455,0.823091,0.82549,0.825405,0.828214,0.876713,0.874747
"adhoc6",10,27,0.46564,0.6247,0.618541,0.587189,0.662646,0.660078,0.536201
"adhoc6",20,27,0.677465,0.701999,0.701702,0.686249,0.72238,0.751439,0.699833
"adhoc6",30,27,0.777354,0.72119,0.723173,0.716323,0.734631,0.769154,0.735649
"adhoc6",40,27,0.736308,0.770399,0.774054,0.7691,0.783478,0.81773,0.811832
"adhoc6",50,27,0.743584,0.747531,0.751749,0.747671,0.757785,0.809399,0.795849
"adhoc6",60,27,0.787378,0.752283,0.756422,0.753875,0.761223,0.810772,0.791756
"adhoc6",70,27,0.800055,0.767665,0.770672,0.768993,0.775396,0.819983,0.815212
"adhoc6",80,27,0.794744,0.803426,0.804467,0.804374,0.808447,0.842861,0.850371
"adhoc6",90,27,0.858771,0.817014,0.820262,0.81974,0.822763,0.881759,0.867612
"adhoc6",100,27,0.814852,0.811225,0.81534,0.814907,0.818488,0.873464,0.863596
"adhoc6",10,28,0.509212,0.669004,0.658256,0.631595,0.696621,0.735996,0.607484
"adhoc6",20,28,0.644194,0.721589,0.728533,0.712405,0.746991,0.766875,0.747126
"adhoc6",30,28,0.629543,0.722186,0.723559,0.717965,0.7361,0.765211,0.736798
"adhoc6",40,28,0.667686,0.749587,0.753351,0.748217,0.762275,0.796787,0.798437
"adhoc6",50,28,0.781702,0.773589,0.774097,0.772802,0.780987,0.816694,0.818455
"adhoc6",60,28,0.811549,0.776648,0.77882,0.776326,0.786214,0.840568,0.823196
"adhoc6",70,28,0.787178,0.799366,0.802234,0.801167,0.806508,0.85009,0.848371
"adhoc6",80,28,0.868656,0.809601,0.811854,0.811734,0.81583,0.868247,0.861951
"adhoc6",90,28,0.802237,0.841104,0.842451,0.842401,0.845849,0.898457,0.900161
"adhoc6",100,28,0.802533,0.828807,0.831536,0.831895,0.834331,0.877994,0.882809
"adhoc6",10,29,0.497328,0.607698,0.590259,0.569411,0.63354,0.681158,0.536741
"adhoc6",20,29,0.73443,0.627304,0.633185,0.617455,0.650929,0.637312,0.535183
"adhoc6",30,29,0.67878,0.724574,0.727316,0.722121,0.738582,0.773657,0.750474
"adhoc6",40,29,0.680152,0.723444,0.728786,0.721757,0.74003,0.769989,0.740104
"adhoc6",50,29,0.815249,0.772776,0.776216,0.773145,0.78153,0.833804,0.820635
"adhoc6",60,29,0.818034,0.810595,0.813491,0.811664,0.81821,0.871768,0.86224
"adhoc6",70,29,0.845241,0.769018,0.770752,0.771094,0.775826,0.827247,0.811183
"adhoc6",80,29,0.68851,0.838996,0.840238,0.840364,0.84356,0.890756,0.893013
"adhoc6",90,29,0.788364,0.800734,0.803623,0.803384,0.806864,0.860275,0.849708
"adhoc6",100,29,0.823378,0.838588,0.840197,0.84077,0.841902,0.89279,0.889631
"adhoc6",10,30,0.579747,0.612157,0.604522,0.57334,0.645851,0.649863,0.532115
